Dystans (m),Wysokość (m)
77345.18517128863,-4979.93359375
77840.98764033536,-4983.47998046875
78336.79010938207,-4985.54248046875
78832.5925784288,-4987.55419921875
79328.39504747551,-4994.51220703125
79824.19751652224,-4997.60302734375
80319.99998556895,-5001.3359375
80815.80245461568,-5007.81201171875
81311.60492366241,-5014.685546875
81807.40739270912,-5020.28369140625
82303.20986175585,-5026.0439453125
82799.01233080256,-5032.2734375
83294.8147998493,-5037.85693359375
83790.617268896,-5043.36328125
84286.41973794274,-5050.9697265625
84782.22220698946,-5059.75830078125
85278.02467603618,-5066.23193359375
85773.8271450829,-5073.2060546875
86269.62961412962,-5081.21826171875
86765.43208317635,-5087.455078125
87261.23455222306,-5092.91552734375
87757.03702126979,-5100.75537109375
88252.83949031652,-5115.43701171875
88748.64195936323,-5125.0068359375
89244.44442840996,-5129.037109375
89740.24689745667,-5132.2939453125
90236.0493665034,-5138.8349609375
90731.85183555011,-5143.62451171875
91227.65430459684,-5149.28466796875
91723.45677364357,-5154.9873046875
92219.25924269028,-5155.93701171875
92715.06171173701,-5154.091796875
93210.86418078373,-5155.92529296875
93706.66664983045,-5157.80615234375
94202.46911887717,-5166.02978515625
94698.2715879239,-5184.8466796875
95194.07405697062,-5193.453125
95689.87652601734,-5202.78271484375
96185.67899506407,-5208.3369140625
96681.48146411078,-5203.83349609375
97177.28393315751,-5204.77734375
97673.08640220422,-5218.19287109375
98168.88887125095,-5226.32421875
98664.69134029766,-5223.4384765625
99160.49380934439,-5226.138671875
99656.29627839112,-5242.76513671875
100152.09874743783,-5244.57470703125
100647.90121648456,-5263.85693359375
101143.70368553128,-5272.25244140625
101639.506154578,-5280.8505859375
102135.30862362472,-5288.05029296875
102631.11109267145,-5296.7490234375
103126.91356171817,-5304.44775390625
103622.71603076489,-5311.609375
104118.51849981162,-5314.65087890625
104614.32096885833,-5320.0224609375
105110.12343790506,-5327.01025390625
105605.92590695177,-5337.1669921875
106101.7283759985,-5347.927734375
106597.53084504523,-5350.3427734375
107093.33331409194,-5346.55859375
107589.13578313867,-5355.80859375
108084.93825218538,-5368.01123046875
108580.74072123211,-5378.142578125
109076.54319027883,-5390.9267578125
109572.34565932555,-5404.82763671875
110068.14812837228,-5416.58447265625
110563.950597419,-5428.2294921875
111059.75306646572,-5426.13671875
111555.55553551244,-5432.642578125
112051.35800455917,-5451.14111328125
112547.16047360588,-5467.01611328125
113042.96294265261,-5479.5
113538.76541169934,-5519.59423828125
114034.56788074605,-5541.962890625
114530.37034979278,-5530.66259765625
115026.17281883949,-5528.767578125
115521.97528788622,-5540.89501953125
116017.77775693293,-5554.4189453125
116513.58022597966,-5574.5419921875
117009.38269502639,-5653.794921875
117505.1851640731,-5694.8671875
118000.98763311983,-5708.0830078125
118496.79010216655,-5715.47265625
118992.59257121327,-5718.0966796875
119488.39504025999,-5712.4140625
119984.19750930672,-5706.88134765625
120479.99997835344,-5714.15283203125
120975.80244740016,-5725.45556640625
121471.60491644689,-5728.068359375
121967.4073854936,-5738.658203125
122463.20985454033,-5727.73095703125
122959.01232358704,-5732.09423828125
123454.81479263377,-5744.466796875
123950.6172616805,-5771.60400390625
124446.41973072721,-5816.65380859375
124942.22219977394,-5848.93505859375
125438.02466882065,-5861.8212890625
125933.82713786738,-5865.279296875
126429.6296069141,-5875.10595703125
126925.43207596082,-5901.14501953125
127421.23454500755,-5931.32421875
